,european_identity,eu_migrants,noneu_migrants,socialclass,life_satisfaction,national_econ,job_situation,attachment_country,rightwing,age,gender
121,2.0,1.0,1.0,3,4,4.0,4.0,3.0,2.0,42,0
122,2.0,1.0,0.0,3,3,3.0,3.0,3.0,4.0,39,1
123,2.0,0.0,0.0,2,2,3.0,3.0,3.0,2.0,53,1
124,2.0,1.0,0.0,3,4,3.0,4.0,4.0,3.0,68,0
125,3.0,1.0,1.0,2,3,2.0,3.0,4.0,1.0,67,1
126,2.0,0.0,0.0,3,3,2.0,2.0,3.0,3.0,64,0
127,2.0,1.0,1.0,2,3,3.0,4.0,1.0,2.0,37,0
128,1.0,0.0,0.0,1,3,2.0,2.0,2.0,5.0,68,1
129,2.0,1.0,0.0,3,4,2.0,4.0,4.0,4.0,61,1
130,2.0,1.0,0.0,3,4,4.0,4.0,4.0,3.0,20,0
131,2.0,0.0,0.0,2,3,2.0,2.0,3.0,2.0,39,0
132,2.0,0.0,0.0,1,4,3.0,3.0,3.0,4.0,67,1
133,2.0,1.0,0.0,3,4,3.0,3.0,3.0,3.0,73,0
134,1.0,0.0,0.0,1,2,2.0,3.0,3.0,5.0,64,1
135,2.0,1.0,1.0,1,3,2.0,2.0,3.0,2.0,63,0
136,2.0,1.0,1.0,2,3,3.0,3.0,4.0,1.0,57,1
137,2.0,0.0,0.0,4,3,3.0,3.0,3.0,2.0,39,0
138,1.0,1.0,0.0,2,3,3.0,3.0,3.0,1.0,64,0
139,3.0,0.0,0.0,2,3,2.0,1.0,3.0,4.0,55,0
140,1.0,1.0,1.0,3,4,3.0,4.0,4.0,3.0,84,0
143,1.0,1.0,1.0,1,3,3.0,3.0,4.0,3.0,61,1
144,2.0,1.0,0.0,2,3,1.0,3.0,3.0,3.0,72,0
145,1.0,1.0,1.0,3,3,3.0,3.0,4.0,5.0,66,0
147,2.0,1.0,1.0,3,4,3.0,4.0,3.0,2.0,65,1
148,2.0,1.0,1.0,4,4,2.0,2.0,3.0,4.0,37,1
149,1.0,0.0,0.0,1,2,2.0,2.0,4.0,3.0,50,0
150,2.0,1.0,1.0,3,3,3.0,4.0,4.0,3.0,73,0
151,2.0,1.0,1.0,4,4,3.0,3.0,3.0,2.0,62,1
152,2.0,0.0,0.0,4,4,3.0,3.0,4.0,4.0,70,1
153,3.0,0.0,0.0,3,3,3.0,4.0,3.0,2.0,54,1
154,2.0,1.0,1.0,3,4,3.0,4.0,4.0,2.0,63,1
155,2.0,1.0,0.0,4,3,3.0,3.0,3.0,4.0,37,0
159,2.0,1.0,1.0,2,3,3.0,2.0,2.0,3.0,36,1
161,2.0,1.0,1.0,3,3,3.0,4.0,3.0,3.0,47,1
163,3.0,1.0,1.0,4,3,3.0,2.0,3.0,2.0,62,1
164,3.0,1.0,1.0,3,4,3.0,4.0,3.0,2.0,60,1
168,3.0,1.0,1.0,3,3,3.0,4.0,2.0,2.0,34,0
169,2.0,0.0,0.0,2,3,3.0,2.0,3.0,3.0,55,0
170,1.0,0.0,0.0,3,3,3.0,3.0,3.0,3.0,24,0
171,1.0,0.0,0.0,3,3,2.0,3.0,3.0,3.0,50,1
172,2.0,0.0,0.0,3,3,3.0,3.0,2.0,2.0,32,0
173,2.0,0.0,0.0,1,4,3.0,3.0,4.0,4.0,51,1
174,1.0,0.0,0.0,3,4,3.0,3.0,2.0,2.0,59,1
175,2.0,1.0,1.0,4,4,3.0,3.0,3.0,4.0,47,1
176,2.0,1.0,1.0,3,4,4.0,2.0,4.0,3.0,50,1
177,1.0,1.0,0.0,2,3,3.0,3.0,3.0,4.0,30,1
178,2.0,1.0,0.0,3,3,2.0,4.0,4.0,4.0,69,0
180,2.0,1.0,0.0,4,4,3.0,4.0,3.0,4.0,54,1
181,2.0,1.0,0.0,3,4,3.0,3.0,3.0,4.0,23,1
182,2.0,1.0,0.0,3,3,3.0,3.0,3.0,1.0,46,0
183,1.0,1.0,1.0,3,4,3.0,4.0,2.0,3.0,21,1
184,2.0,1.0,1.0,3,3,3.0,3.0,3.0,2.0,28,0
186,3.0,1.0,1.0,3,4,3.0,3.0,1.0,2.0,36,0
190,2.0,0.0,0.0,3,3,3.0,3.0,3.0,3.0,60,0
191,2.0,1.0,0.0,3,3,3.0,4.0,3.0,3.0,50,0
194,2.0,1.0,1.0,3,3,3.0,3.0,3.0,3.0,64,1
195,2.0,1.0,1.0,4,4,3.0,4.0,3.0,3.0,43,0
196,2.0,1.0,1.0,3,3,3.0,3.0,3.0,2.0,42,0
197,2.0,1.0,0.0,4,4,3.0,4.0,3.0,4.0,72,1
199,2.0,1.0,1.0,2,3,3.0,3.0,4.0,3.0,71,0
200,2.0,0.0,0.0,3,3,3.0,3.0,3.0,3.0,49,0
201,1.0,0.0,0.0,3,4,2.0,3.0,4.0,2.0,61,1
202,1.0,0.0,0.0,3,3,3.0,3.0,3.0,4.0,46,0
204,2.0,1.0,1.0,3,3,3.0,4.0,3.0,3.0,43,1
205,2.0,1.0,0.0,3,4,3.0,3.0,4.0,3.0,65,0
206,2.0,1.0,0.0,3,3,3.0,3.0,3.0,3.0,40,0
207,2.0,1.0,0.0,2,4,3.0,4.0,4.0,3.0,27,1
209,2.0,0.0,0.0,3,4,2.0,4.0,1.0,3.0,52,0
210,2.0,1.0,1.0,3,3,3.0,3.0,3.0,3.0,78,1
214,3.0,0.0,0.0,3,3,3.0,3.0,3.0,1.0,52,0
215,2.0,1.0,1.0,4,3,3.0,3.0,3.0,3.0,56,1
216,2.0,0.0,0.0,3,3,3.0,3.0,3.0,4.0,20,1
218,1.0,0.0,0.0,3,4,3.0,3.0,3.0,3.0,61,1
219,2.0,1.0,0.0,3,4,2.0,3.0,3.0,2.0,47,0
220,1.0,1.0,0.0,2,4,2.0,2.0,4.0,4.0,58,1
221,3.0,1.0,1.0,4,4,3.0,4.0,2.0,4.0,39,1
222,1.0,0.0,0.0,4,3,2.0,2.0,1.0,3.0,51,0
225,2.0,1.0,1.0,3,3,3.0,3.0,3.0,2.0,64,1
228,2.0,1.0,0.0,2,3,2.0,2.0,3.0,3.0,28,0
229,3.0,0.0,0.0,3,3,3.0,3.0,4.0,3.0,40,1
